Disease,Gene,Drug,SMILES,SideEffect,TargetClass,Pathway,ApprovedForDisease
Type 2 Diabetes,Gene44,Glipizide,SMILES63,SideEffect1,TargetClass9,Pathway1,1
COVID-19,Gene96,Remdesivir,SMILES279,SideEffect20,TargetClass15,Pathway8,1
Parkinson's disease,Gene55,Levodopa,SMILES417,SideEffect21,TargetClass17,Pathway6,1
Breast Cancer,Gene71,Trastuzumab,SMILES170,SideEffect39,TargetClass5,Pathway12,1
COVID-19,Gene31,Molnupiravir,SMILES341,SideEffect5,TargetClass19,Pathway10,1
Breast Cancer,Gene39,Tamoxifen,SMILES265,SideEffect41,TargetClass14,Pathway10,1
Breast Cancer,Gene98,Trastuzumab,SMILES208,SideEffect33,TargetClass3,Pathway7,1
COVID-19,Gene13,Remdesivir,SMILES228,SideEffect45,TargetClass17,Pathway14,1
Type 2 Diabetes,Gene67,Glipizide,SMILES341,SideEffect2,TargetClass4,Pathway1,1
COVID-19,Gene1,Remdesivir,SMILES325,SideEffect14,TargetClass6,Pathway7,1
Parkinson's disease,Gene58,Levodopa,SMILES437,SideEffect47,TargetClass1,Pathway1,1
Breast Cancer,Gene83,Tamoxifen,SMILES305,SideEffect48,TargetClass8,Pathway8,1
Breast Cancer,Gene87,Fluoxetine,SMILES135,SideEffect21,TargetClass1,Pathway13,0
Depression,Gene54,Levodopa,SMILES228,SideEffect26,TargetClass19,Pathway12,0
Alzheimer's disease,Gene7,Memantine,SMILES79,SideEffect23,TargetClass14,Pathway7,1
Parkinson's disease,Gene77,Metformin,SMILES432,SideEffect8,TargetClass4,Pathway2,0
Type 2 Diabetes,Gene24,Sertraline,SMILES182,SideEffect18,TargetClass18,Pathway14,0
COVID-19,Gene40,Remdesivir,SMILES455,SideEffect8,TargetClass9,Pathway1,1
Alzheimer's disease,Gene15,Memantine,SMILES178,SideEffect6,TargetClass2,Pathway5,1
Type 2 Diabetes,Gene76,Tamoxifen,SMILES74,SideEffect24,TargetClass9,Pathway2,0
COVID-19,Gene94,Fluoxetine,SMILES482,SideEffect25,TargetClass17,Pathway11,0
Lung Cancer,Gene62,Fluoxetine,SMILES46,SideEffect23,TargetClass3,Pathway7,0
Depression,Gene1,Fluoxetine,SMILES7,SideEffect9,TargetClass1,Pathway5,1
Breast Cancer,Gene94,Tamoxifen,SMILES254,SideEffect45,TargetClass6,Pathway1,1
Depression,Gene16,Metformin,SMILES41,SideEffect9,TargetClass2,Pathway14,0
Type 2 Diabetes,Gene83,Glipizide,SMILES190,SideEffect48,TargetClass8,Pathway2,1
Alzheimer's disease,Gene59,Donepezil,SMILES74,SideEffect47,TargetClass1,Pathway12,1
Breast Cancer,Gene88,Metformin,SMILES175,SideEffect20,TargetClass5,Pathway11,0
Alzheimer's disease,Gene9,Memantine,SMILES51,SideEffect29,TargetClass14,Pathway8,1
Depression,Gene42,Fluoxetine,SMILES219,SideEffect34,TargetClass4,Pathway8,1
Depression,Gene34,Sertraline,SMILES420,SideEffect30,TargetClass3,Pathway9,1
Depression,Gene99,Fluoxetine,SMILES216,SideEffect3,TargetClass19,Pathway4,1
Depression,Gene49,Sertraline,SMILES255,SideEffect1,TargetClass4,Pathway9,1
Breast Cancer,Gene98,Tamoxifen,SMILES376,SideEffect46,TargetClass6,Pathway14,1
Depression,Gene53,Fluoxetine,SMILES370,SideEffect18,TargetClass14,Pathway4,1
Parkinson's disease,Gene95,Erlotinib,SMILES452,SideEffect30,TargetClass4,Pathway6,0
Lung Cancer,Gene65,Erlotinib,SMILES151,SideEffect31,TargetClass19,Pathway3,1
Depression,Gene45,Sertraline,SMILES225,SideEffect16,TargetClass8,Pathway1,1
Lung Cancer,Gene80,Gefitinib,SMILES352,SideEffect30,TargetClass3,Pathway8,1
COVID-19,Gene1,Molnupiravir,SMILES208,SideEffect17,TargetClass3,Pathway13,1
Breast Cancer,Gene33,Trastuzumab,SMILES75,SideEffect45,TargetClass5,Pathway2,1
Type 2 Diabetes,Gene71,Glipizide,SMILES98,SideEffect34,TargetClass4,Pathway9,1
Type 2 Diabetes,Gene21,Metformin,SMILES39,SideEffect31,TargetClass6,Pathway14,1
Breast Cancer,Gene40,Trastuzumab,SMILES378,SideEffect37,TargetClass13,Pathway1,1
Depression,Gene34,Sertraline,SMILES85,SideEffect1,TargetClass13,Pathway7,1
Alzheimer's disease,Gene6,Donepezil,SMILES6,SideEffect5,TargetClass3,Pathway12,1
Breast Cancer,Gene80,Trastuzumab,SMILES31,SideEffect33,TargetClass17,Pathway5,1
Lung Cancer,Gene8,Gefitinib,SMILES185,SideEffect37,TargetClass15,Pathway8,1
Alzheimer's disease,Gene98,Trastuzumab,SMILES386,SideEffect28,TargetClass10,Pathway11,0
Parkinson's disease,Gene93,Carbidopa,SMILES23,SideEffect49,TargetClass6,Pathway14,1
Lung Cancer,Gene98,Gefitinib,SMILES28,SideEffect24,TargetClass5,Pathway13,1
Lung Cancer,Gene36,Glipizide,SMILES409,SideEffect6,TargetClass18,Pathway7,0
Parkinson's disease,Gene62,Carbidopa,SMILES420,SideEffect22,TargetClass11,Pathway5,1
Lung Cancer,Gene55,Gefitinib,SMILES52,SideEffect27,TargetClass13,Pathway10,1
Lung Cancer,Gene75,Erlotinib,SMILES146,SideEffect47,TargetClass12,Pathway9,1
COVID-19,Gene46,Remdesivir,SMILES197,SideEffect30,TargetClass8,Pathway2,1
Type 2 Diabetes,Gene63,Glipizide,SMILES376,SideEffect48,TargetClass9,Pathway10,1
Alzheimer's disease,Gene51,Metformin,SMILES324,SideEffect16,TargetClass12,Pathway9,0
Parkinson's disease,Gene95,Glipizide,SMILES62,SideEffect1,TargetClass4,Pathway3,0
Lung Cancer,Gene30,Erlotinib,SMILES239,SideEffect9,TargetClass4,Pathway12,1
Parkinson's disease,Gene58,Levodopa,SMILES54,SideEffect32,TargetClass11,Pathway5,1
Depression,Gene26,Fluoxetine,SMILES109,SideEffect29,TargetClass18,Pathway4,1
Lung Cancer,Gene50,Erlotinib,SMILES65,SideEffect35,TargetClass4,Pathway13,1
Type 2 Diabetes,Gene1,Glipizide,SMILES416,SideEffect32,TargetClass11,Pathway11,1
COVID-19,Gene89,Erlotinib,SMILES435,SideEffect38,TargetClass10,Pathway11,0
Breast Cancer,Gene24,Tamoxifen,SMILES325,SideEffect23,TargetClass19,Pathway1,1
Lung Cancer,Gene10,Erlotinib,SMILES27,SideEffect19,TargetClass13,Pathway10,1
Type 2 Diabetes,Gene11,Glipizide,SMILES355,SideEffect17,TargetClass12,Pathway3,1
Parkinson's disease,Gene96,Carbidopa,SMILES214,SideEffect48,TargetClass11,Pathway6,1
Lung Cancer,Gene87,Gefitinib,SMILES162,SideEffect40,TargetClass7,Pathway10,1
Breast Cancer,Gene19,Trastuzumab,SMILES64,SideEffect27,TargetClass9,Pathway7,1
Lung Cancer,Gene68,Gefitinib,SMILES223,SideEffect5,TargetClass2,Pathway4,1
Breast Cancer,Gene14,Trastuzumab,SMILES13,SideEffect24,TargetClass5,Pathway2,1
Depression,Gene26,Sertraline,SMILES40,SideEffect26,TargetClass4,Pathway13,1
Lung Cancer,Gene68,Donepezil,SMILES126,SideEffect9,TargetClass18,Pathway11,0
Lung Cancer,Gene20,Gefitinib,SMILES61,SideEffect6,TargetClass11,Pathway1,1
Parkinson's disease,Gene93,Levodopa,SMILES109,SideEffect49,TargetClass3,Pathway8,1
Lung Cancer,Gene4,Gefitinib,SMILES478,SideEffect6,TargetClass14,Pathway6,1
Depression,Gene14,Sertraline,SMILES192,SideEffect39,TargetClass2,Pathway11,1
Alzheimer's disease,Gene62,Donepezil,SMILES216,SideEffect37,TargetClass3,Pathway12,1
Breast Cancer,Gene5,Trastuzumab,SMILES205,SideEffect10,TargetClass17,Pathway3,1
Parkinson's disease,Gene86,Carbidopa,SMILES471,SideEffect29,TargetClass11,Pathway4,1
Lung Cancer,Gene22,Erlotinib,SMILES462,SideEffect19,TargetClass3,Pathway8,1
Type 2 Diabetes,Gene19,Glipizide,SMILES225,SideEffect4,TargetClass3,Pathway10,1
Depression,Gene19,Sertraline,SMILES83,SideEffect33,TargetClass19,Pathway3,1
Breast Cancer,Gene55,Tamoxifen,SMILES297,SideEffect40,TargetClass8,Pathway11,1
Parkinson's disease,Gene24,Levodopa,SMILES472,SideEffect47,TargetClass19,Pathway14,1
Alzheimer's disease,Gene74,Memantine,SMILES90,SideEffect15,TargetClass6,Pathway9,1
Depression,Gene63,Fluoxetine,SMILES252,SideEffect45,TargetClass4,Pathway1,1
Type 2 Diabetes,Gene52,Molnupiravir,SMILES406,SideEffect4,TargetClass6,Pathway6,0
Parkinson's disease,Gene5,Levodopa,SMILES368,SideEffect29,TargetClass5,Pathway6,1
COVID-19,Gene47,Molnupiravir,SMILES382,SideEffect1,TargetClass4,Pathway10,1
Breast Cancer,Gene12,Trastuzumab,SMILES143,SideEffect45,TargetClass7,Pathway7,1
Breast Cancer,Gene76,Tamoxifen,SMILES96,SideEffect26,TargetClass7,Pathway1,1
Lung Cancer,Gene7,Gefitinib,SMILES482,SideEffect20,TargetClass19,Pathway7,1
Alzheimer's disease,Gene90,Memantine,SMILES372,SideEffect10,TargetClass15,Pathway3,1
Alzheimer's disease,Gene78,Tamoxifen,SMILES496,SideEffect40,TargetClass16,Pathway4,0
Lung Cancer,Gene29,Erlotinib,SMILES299,SideEffect33,TargetClass13,Pathway4,1
Alzheimer's disease,Gene19,Donepezil,SMILES177,SideEffect49,TargetClass2,Pathway2,1
Depression,Gene21,Sertraline,SMILES175,SideEffect35,TargetClass12,Pathway11,1
Breast Cancer,Gene67,Tamoxifen,SMILES450,SideEffect5,TargetClass18,Pathway2,1
COVID-19,Gene47,Remdesivir,SMILES498,SideEffect13,TargetClass12,Pathway2,1
Breast Cancer,Gene78,Trastuzumab,SMILES417,SideEffect34,TargetClass3,Pathway7,1
COVID-19,Gene73,Molnupiravir,SMILES233,SideEffect12,TargetClass14,Pathway14,1
Depression,Gene97,Fluoxetine,SMILES180,SideEffect35,TargetClass5,Pathway5,1
Lung Cancer,Gene3,Gefitinib,SMILES190,SideEffect29,TargetClass9,Pathway8,1
Breast Cancer,Gene18,Tamoxifen,SMILES218,SideEffect17,TargetClass11,Pathway4,1
Type 2 Diabetes,Gene52,Glipizide,SMILES297,SideEffect19,TargetClass6,Pathway2,1
Alzheimer's disease,Gene45,Tamoxifen,SMILES346,SideEffect19,TargetClass8,Pathway11,0
Depression,Gene66,Fluoxetine,SMILES194,SideEffect41,TargetClass4,Pathway5,1
Lung Cancer,Gene58,Metformin,SMILES412,SideEffect8,TargetClass11,Pathway5,0
Breast Cancer,Gene4,Tamoxifen,SMILES391,SideEffect45,TargetClass3,Pathway9,1
Type 2 Diabetes,Gene46,Sertraline,SMILES491,SideEffect16,TargetClass4,Pathway4,0
Type 2 Diabetes,Gene96,Levodopa,SMILES207,SideEffect28,TargetClass3,Pathway3,0
Breast Cancer,Gene36,Tamoxifen,SMILES296,SideEffect6,TargetClass14,Pathway13,1
Breast Cancer,Gene11,Tamoxifen,SMILES498,SideEffect38,TargetClass15,Pathway11,1
Depression,Gene7,Sertraline,SMILES134,SideEffect41,TargetClass16,Pathway12,1
Type 2 Diabetes,Gene17,Levodopa,SMILES110,SideEffect27,TargetClass10,Pathway3,0
Alzheimer's disease,Gene58,Memantine,SMILES213,SideEffect38,TargetClass8,Pathway10,1
Alzheimer's disease,Gene58,Memantine,SMILES100,SideEffect37,TargetClass9,Pathway1,1
Breast Cancer,Gene73,Memantine,SMILES359,SideEffect31,TargetClass9,Pathway2,0
Parkinson's disease,Gene18,Metformin,SMILES429,SideEffect32,TargetClass14,Pathway8,0
Lung Cancer,Gene84,Erlotinib,SMILES8,SideEffect43,TargetClass9,Pathway2,1
Type 2 Diabetes,Gene28,Glipizide,SMILES432,SideEffect35,TargetClass8,Pathway11,1
COVID-19,Gene74,Remdesivir,SMILES135,SideEffect37,TargetClass12,Pathway13,1
COVID-19,Gene10,Molnupiravir,SMILES71,SideEffect26,TargetClass2,Pathway14,1
COVID-19,Gene89,Remdesivir,SMILES27,SideEffect41,TargetClass7,Pathway9,1
Parkinson's disease,Gene2,Carbidopa,SMILES143,SideEffect29,TargetClass3,Pathway14,1
Parkinson's disease,Gene49,Carbidopa,SMILES166,SideEffect31,TargetClass8,Pathway13,1
Depression,Gene90,Fluoxetine,SMILES112,SideEffect30,TargetClass13,Pathway4,1
Breast Cancer,Gene43,Trastuzumab,SMILES337,SideEffect9,TargetClass1,Pathway8,1
Alzheimer's disease,Gene12,Memantine,SMILES80,SideEffect11,TargetClass11,Pathway12,1
Breast Cancer,Gene43,Tamoxifen,SMILES36,SideEffect2,TargetClass4,Pathway14,1
Breast Cancer,Gene97,Trastuzumab,SMILES49,SideEffect18,TargetClass13,Pathway5,1
Lung Cancer,Gene12,Erlotinib,SMILES176,SideEffect39,TargetClass3,Pathway2,1
Depression,Gene32,Fluoxetine,SMILES472,SideEffect2,TargetClass1,Pathway2,1
Alzheimer's disease,Gene43,Donepezil,SMILES359,SideEffect24,TargetClass7,Pathway13,1
Type 2 Diabetes,Gene5,Carbidopa,SMILES317,SideEffect44,TargetClass3,Pathway12,0
Alzheimer's disease,Gene50,Remdesivir,SMILES272,SideEffect2,TargetClass12,Pathway13,0
Parkinson's disease,Gene34,Levodopa,SMILES383,SideEffect21,TargetClass14,Pathway14,1
Breast Cancer,Gene11,Trastuzumab,SMILES382,SideEffect24,TargetClass15,Pathway8,1
Depression,Gene28,Fluoxetine,SMILES284,SideEffect16,TargetClass16,Pathway10,1
Alzheimer's disease,Gene1,Carbidopa,SMILES29,SideEffect36,TargetClass14,Pathway14,0
Lung Cancer,Gene71,Gefitinib,SMILES375,SideEffect28,TargetClass12,Pathway14,1
Lung Cancer,Gene8,Memantine,SMILES439,SideEffect21,TargetClass3,Pathway9,0
Breast Cancer,Gene88,Tamoxifen,SMILES371,SideEffect23,TargetClass12,Pathway1,1
Depression,Gene29,Remdesivir,SMILES21,SideEffect30,TargetClass4,Pathway7,0
COVID-19,Gene46,Molnupiravir,SMILES482,SideEffect24,TargetClass6,Pathway3,1
Breast Cancer,Gene63,Trastuzumab,SMILES312,SideEffect7,TargetClass10,Pathway7,1
Type 2 Diabetes,Gene29,Metformin,SMILES6,SideEffect37,TargetClass8,Pathway2,1
Alzheimer's disease,Gene99,Gefitinib,SMILES142,SideEffect36,TargetClass19,Pathway6,0
Alzheimer's disease,Gene92,Donepezil,SMILES230,SideEffect22,TargetClass15,Pathway5,1
COVID-19,Gene31,Remdesivir,SMILES355,SideEffect17,TargetClass19,Pathway14,1
Breast Cancer,Gene85,Levodopa,SMILES63,SideEffect36,TargetClass2,Pathway3,0
Type 2 Diabetes,Gene69,Metformin,SMILES373,SideEffect38,TargetClass16,Pathway5,1
Breast Cancer,Gene86,Tamoxifen,SMILES9,SideEffect45,TargetClass8,Pathway2,1
COVID-19,Gene59,Molnupiravir,SMILES319,SideEffect47,TargetClass19,Pathway2,1
Parkinson's disease,Gene54,Carbidopa,SMILES358,SideEffect21,TargetClass11,Pathway3,1
Type 2 Diabetes,Gene4,Glipizide,SMILES215,SideEffect27,TargetClass1,Pathway1,1
Breast Cancer,Gene9,Trastuzumab,SMILES88,SideEffect49,TargetClass16,Pathway1,1
Parkinson's disease,Gene21,Fluoxetine,SMILES34,SideEffect38,TargetClass9,Pathway14,0
Alzheimer's disease,Gene55,Donepezil,SMILES246,SideEffect9,TargetClass4,Pathway9,1
Breast Cancer,Gene63,Tamoxifen,SMILES233,SideEffect43,TargetClass2,Pathway11,1
Type 2 Diabetes,Gene3,Glipizide,SMILES364,SideEffect15,TargetClass8,Pathway14,1
COVID-19,Gene36,Fluoxetine,SMILES214,SideEffect40,TargetClass19,Pathway9,0
Type 2 Diabetes,Gene24,Glipizide,SMILES432,SideEffect39,TargetClass13,Pathway13,1
Lung Cancer,Gene60,Memantine,SMILES342,SideEffect34,TargetClass19,Pathway4,0
Breast Cancer,Gene29,Tamoxifen,SMILES495,SideEffect3,TargetClass1,Pathway4,1
Type 2 Diabetes,Gene28,Glipizide,SMILES400,SideEffect16,TargetClass18,Pathway8,1
Depression,Gene37,Fluoxetine,SMILES38,SideEffect14,TargetClass6,Pathway10,1
Type 2 Diabetes,Gene49,Glipizide,SMILES330,SideEffect34,TargetClass19,Pathway4,1
Type 2 Diabetes,Gene46,Sertraline,SMILES459,SideEffect14,TargetClass8,Pathway3,0
COVID-19,Gene46,Molnupiravir,SMILES48,SideEffect40,TargetClass18,Pathway7,1
Breast Cancer,Gene7,Tamoxifen,SMILES411,SideEffect37,TargetClass5,Pathway14,1
COVID-19,Gene56,Molnupiravir,SMILES321,SideEffect29,TargetClass16,Pathway9,1
Depression,Gene7,Fluoxetine,SMILES94,SideEffect31,TargetClass13,Pathway14,1
Breast Cancer,Gene21,Sertraline,SMILES156,SideEffect26,TargetClass1,Pathway5,0
Parkinson's disease,Gene60,Glipizide,SMILES126,SideEffect13,TargetClass7,Pathway3,0
Parkinson's disease,Gene82,Levodopa,SMILES84,SideEffect1,TargetClass1,Pathway11,1
Type 2 Diabetes,Gene90,Metformin,SMILES334,SideEffect9,TargetClass15,Pathway12,1
Depression,Gene6,Sertraline,SMILES283,SideEffect7,TargetClass17,Pathway8,1
Breast Cancer,Gene41,Tamoxifen,SMILES97,SideEffect49,TargetClass10,Pathway8,1
Alzheimer's disease,Gene36,Remdesivir,SMILES345,SideEffect24,TargetClass12,Pathway1,0
Alzheimer's disease,Gene36,Memantine,SMILES232,SideEffect25,TargetClass4,Pathway13,1
Type 2 Diabetes,Gene94,Remdesivir,SMILES364,SideEffect34,TargetClass12,Pathway1,0
Alzheimer's disease,Gene79,Donepezil,SMILES417,SideEffect37,TargetClass15,Pathway4,1
Depression,Gene87,Fluoxetine,SMILES332,SideEffect8,TargetClass17,Pathway6,1
Type 2 Diabetes,Gene62,Glipizide,SMILES232,SideEffect43,TargetClass15,Pathway1,1
Depression,Gene24,Fluoxetine,SMILES407,SideEffect45,TargetClass16,Pathway7,1
Breast Cancer,Gene17,Tamoxifen,SMILES99,SideEffect18,TargetClass8,Pathway6,1
Depression,Gene39,Fluoxetine,SMILES71,SideEffect33,TargetClass10,Pathway10,1
COVID-19,Gene91,Fluoxetine,SMILES73,SideEffect7,TargetClass5,Pathway13,0
Alzheimer's disease,Gene58,Donepezil,SMILES259,SideEffect21,TargetClass9,Pathway6,1
Breast Cancer,Gene70,Metformin,SMILES287,SideEffect17,TargetClass9,Pathway11,0
Type 2 Diabetes,Gene76,Donepezil,SMILES456,SideEffect24,TargetClass16,Pathway2,0
Type 2 Diabetes,Gene6,Glipizide,SMILES449,SideEffect18,TargetClass16,Pathway8,1
Alzheimer's disease,Gene78,Memantine,SMILES458,SideEffect38,TargetClass8,Pathway11,1
COVID-19,Gene33,Tamoxifen,SMILES33,SideEffect11,TargetClass18,Pathway13,0
COVID-19,Gene39,Remdesivir,SMILES469,SideEffect11,TargetClass18,Pathway10,1
COVID-19,Gene39,Remdesivir,SMILES37,SideEffect31,TargetClass7,Pathway1,1
Breast Cancer,Gene38,Tamoxifen,SMILES470,SideEffect45,TargetClass9,Pathway9,1
Parkinson's disease,Gene16,Carbidopa,SMILES475,SideEffect23,TargetClass1,Pathway13,1
Lung Cancer,Gene93,Gefitinib,SMILES24,SideEffect10,TargetClass19,Pathway12,1
Breast Cancer,Gene67,Trastuzumab,SMILES476,SideEffect4,TargetClass18,Pathway8,1
Lung Cancer,Gene15,Erlotinib,SMILES311,SideEffect8,TargetClass15,Pathway13,1
Lung Cancer,Gene71,Erlotinib,SMILES140,SideEffect1,TargetClass11,Pathway5,1
Type 2 Diabetes,Gene65,Gefitinib,SMILES239,SideEffect42,TargetClass18,Pathway13,0
Alzheimer's disease,Gene20,Donepezil,SMILES327,SideEffect14,TargetClass15,Pathway2,1
Depression,Gene42,Sertraline,SMILES45,SideEffect30,TargetClass11,Pathway3,1
Alzheimer's disease,Gene22,Memantine,SMILES239,SideEffect8,TargetClass9,Pathway4,1
Depression,Gene1,Sertraline,SMILES126,SideEffect49,TargetClass15,Pathway5,1
Lung Cancer,Gene8,Gefitinib,SMILES304,SideEffect21,TargetClass11,Pathway4,1
Parkinson's disease,Gene28,Carbidopa,SMILES54,SideEffect28,TargetClass12,Pathway14,1
Lung Cancer,Gene24,Gefitinib,SMILES395,SideEffect11,TargetClass17,Pathway3,1
Depression,Gene68,Fluoxetine,SMILES160,SideEffect2,TargetClass14,Pathway13,1
Alzheimer's disease,Gene97,Donepezil,SMILES191,SideEffect22,TargetClass15,Pathway10,1
Alzheimer's disease,Gene24,Donepezil,SMILES493,SideEffect10,TargetClass10,Pathway6,1
Lung Cancer,Gene94,Tamoxifen,SMILES188,SideEffect26,TargetClass7,Pathway13,0
Parkinson's disease,Gene92,Carbidopa,SMILES264,SideEffect27,TargetClass16,Pathway2,1
Breast Cancer,Gene9,Trastuzumab,SMILES478,SideEffect11,TargetClass3,Pathway5,1
Breast Cancer,Gene47,Trastuzumab,SMILES374,SideEffect36,TargetClass7,Pathway8,1
Breast Cancer,Gene11,Tamoxifen,SMILES150,SideEffect21,TargetClass18,Pathway14,1
COVID-19,Gene5,Molnupiravir,SMILES407,SideEffect1,TargetClass10,Pathway2,1
Depression,Gene83,Sertraline,SMILES32,SideEffect24,TargetClass3,Pathway8,1
Breast Cancer,Gene26,Metformin,SMILES116,SideEffect27,TargetClass8,Pathway14,0
Alzheimer's disease,Gene69,Gefitinib,SMILES124,SideEffect17,TargetClass8,Pathway6,0
COVID-19,Gene54,Remdesivir,SMILES443,SideEffect21,TargetClass12,Pathway7,1
Parkinson's disease,Gene70,Levodopa,SMILES190,SideEffect35,TargetClass14,Pathway14,1
COVID-19,Gene30,Molnupiravir,SMILES255,SideEffect48,TargetClass10,Pathway10,1
Depression,Gene22,Fluoxetine,SMILES232,SideEffect19,TargetClass6,Pathway4,1
Alzheimer's disease,Gene23,Memantine,SMILES405,SideEffect31,TargetClass6,Pathway12,1
COVID-19,Gene5,Molnupiravir,SMILES332,SideEffect40,TargetClass6,Pathway2,1
Alzheimer's disease,Gene26,Memantine,SMILES76,SideEffect39,TargetClass3,Pathway9,1
Lung Cancer,Gene88,Gefitinib,SMILES429,SideEffect37,TargetClass8,Pathway11,1
Parkinson's disease,Gene34,Levodopa,SMILES208,SideEffect36,TargetClass7,Pathway2,1
Alzheimer's disease,Gene52,Tamoxifen,SMILES374,SideEffect45,TargetClass18,Pathway12,0
Type 2 Diabetes,Gene62,Memantine,SMILES47,SideEffect46,TargetClass14,Pathway10,0
Type 2 Diabetes,Gene15,Glipizide,SMILES179,SideEffect4,TargetClass19,Pathway8,1
Lung Cancer,Gene56,Gefitinib,SMILES409,SideEffect27,TargetClass7,Pathway13,1
Alzheimer's disease,Gene66,Memantine,SMILES25,SideEffect9,TargetClass1,Pathway7,1
COVID-19,Gene67,Sertraline,SMILES183,SideEffect18,TargetClass3,Pathway5,0
Type 2 Diabetes,Gene9,Metformin,SMILES382,SideEffect1,TargetClass13,Pathway2,1
Type 2 Diabetes,Gene49,Glipizide,SMILES261,SideEffect31,TargetClass5,Pathway4,1
Depression,Gene91,Sertraline,SMILES82,SideEffect7,TargetClass9,Pathway14,1
Parkinson's disease,Gene63,Carbidopa,SMILES452,SideEffect19,TargetClass17,Pathway12,1
Alzheimer's disease,Gene11,Memantine,SMILES51,SideEffect19,TargetClass18,Pathway13,1
Alzheimer's disease,Gene80,Donepezil,SMILES310,SideEffect22,TargetClass1,Pathway10,1
Type 2 Diabetes,Gene47,Glipizide,SMILES371,SideEffect18,TargetClass15,Pathway2,1
Lung Cancer,Gene3,Glipizide,SMILES30,SideEffect3,TargetClass18,Pathway7,0
Alzheimer's disease,Gene72,Memantine,SMILES404,SideEffect42,TargetClass19,Pathway14,1
Lung Cancer,Gene20,Erlotinib,SMILES170,SideEffect46,TargetClass15,Pathway10,1
Alzheimer's disease,Gene46,Memantine,SMILES136,SideEffect18,TargetClass13,Pathway8,1
Parkinson's disease,Gene86,Levodopa,SMILES9,SideEffect3,TargetClass4,Pathway7,1
Depression,Gene45,Sertraline,SMILES253,SideEffect5,TargetClass19,Pathway10,1
Depression,Gene7,Sertraline,SMILES155,SideEffect9,TargetClass18,Pathway13,1
Parkinson's disease,Gene44,Levodopa,SMILES407,SideEffect12,TargetClass1,Pathway5,1
COVID-19,Gene62,Molnupiravir,SMILES268,SideEffect30,TargetClass13,Pathway6,1
Alzheimer's disease,Gene90,Memantine,SMILES260,SideEffect1,TargetClass7,Pathway14,1
Type 2 Diabetes,Gene89,Metformin,SMILES441,SideEffect13,TargetClass11,Pathway4,1
Breast Cancer,Gene4,Tamoxifen,SMILES345,SideEffect7,TargetClass17,Pathway13,1
Parkinson's disease,Gene71,Levodopa,SMILES294,SideEffect27,TargetClass9,Pathway4,1
Parkinson's disease,Gene48,Metformin,SMILES55,SideEffect16,TargetClass3,Pathway3,0
Parkinson's disease,Gene97,Carbidopa,SMILES333,SideEffect20,TargetClass9,Pathway10,1
COVID-19,Gene42,Molnupiravir,SMILES427,SideEffect33,TargetClass15,Pathway5,1
Breast Cancer,Gene54,Levodopa,SMILES241,SideEffect41,TargetClass19,Pathway3,0
Alzheimer's disease,Gene78,Memantine,SMILES429,SideEffect15,TargetClass18,Pathway6,1
Parkinson's disease,Gene81,Molnupiravir,SMILES87,SideEffect25,TargetClass16,Pathway12,0
Lung Cancer,Gene96,Gefitinib,SMILES219,SideEffect47,TargetClass11,Pathway6,1
COVID-19,Gene91,Molnupiravir,SMILES455,SideEffect28,TargetClass12,Pathway10,1
Breast Cancer,Gene78,Tamoxifen,SMILES375,SideEffect33,TargetClass9,Pathway8,1
Depression,Gene80,Sertraline,SMILES446,SideEffect45,TargetClass11,Pathway7,1
COVID-19,Gene46,Remdesivir,SMILES203,SideEffect46,TargetClass8,Pathway3,1
COVID-19,Gene22,Molnupiravir,SMILES486,SideEffect38,TargetClass6,Pathway8,1
Alzheimer's disease,Gene93,Donepezil,SMILES366,SideEffect34,TargetClass16,Pathway14,1
Alzheimer's disease,Gene80,Memantine,SMILES403,SideEffect39,TargetClass18,Pathway13,1
Parkinson's disease,Gene15,Levodopa,SMILES201,SideEffect27,TargetClass16,Pathway2,1
Breast Cancer,Gene29,Memantine,SMILES134,SideEffect1,TargetClass12,Pathway4,0
Type 2 Diabetes,Gene93,Glipizide,SMILES68,SideEffect18,TargetClass14,Pathway14,1
Breast Cancer,Gene70,Trastuzumab,SMILES160,SideEffect2,TargetClass13,Pathway11,1
Lung Cancer,Gene74,Gefitinib,SMILES473,SideEffect37,TargetClass11,Pathway1,1
COVID-19,Gene32,Fluoxetine,SMILES385,SideEffect16,TargetClass11,Pathway1,0
Depression,Gene46,Fluoxetine,SMILES252,SideEffect6,TargetClass8,Pathway4,1
Parkinson's disease,Gene1,Carbidopa,SMILES442,SideEffect28,TargetClass4,Pathway9,1
Parkinson's disease,Gene6,Carbidopa,SMILES388,SideEffect30,TargetClass7,Pathway14,1
Depression,Gene24,Fluoxetine,SMILES61,SideEffect20,TargetClass1,Pathway8,1
Type 2 Diabetes,Gene34,Glipizide,SMILES102,SideEffect22,TargetClass5,Pathway8,1
Alzheimer's disease,Gene67,Carbidopa,SMILES177,SideEffect13,TargetClass16,Pathway2,0
COVID-19,Gene49,Gefitinib,SMILES362,SideEffect39,TargetClass16,Pathway1,0
Breast Cancer,Gene81,Trastuzumab,SMILES232,SideEffect44,TargetClass15,Pathway4,1
Depression,Gene23,Sertraline,SMILES59,SideEffect5,TargetClass10,Pathway2,1
Lung Cancer,Gene69,Gefitinib,SMILES118,SideEffect33,TargetClass18,Pathway9,1
